Name,Score,Deviation
 - - - - - - Diamond - - - - - - 
Quaff,2147,97
Krizski,1860,67
Garbage,1755,77
Odds,1742,109
Riceboy,1710,123
Swan,1690,59
Poppinfresh,1687,62
Minijoel,1623,60
Qwuv,1608,61
Milesss,1561,82
 - - - - - - Gold - - - - - - 
Wamsa,1559,61
Dimentio,1540,95
Mftea,1499,177
Birmi,1484,57
Mono,1477,177
Brunch,1471,82
Isis,1447,74
Rat!,1443,68
Vision,1431,70
Liban$,1422,80
Mach5,1372,251
Tsteak,1339,84
Bigbird,1311,102
Thegroose,1249,112
Aozorax,1248,171
 - - - - - - Silver 1 - - - - - - 
Magpie,1245,145
Me$|ataro,1243,213
Nate,1224,121
Nitro,1217,199
Duckrobin,1209,66
Venison,1180,111
Zipper,1166,236
Bapple,1166,86
Rash,1146,214
Kova,1126,151
 - - - - - - Silver 2 - - - - - - 
Dunk,1124,194
Seemorebutts,1121,181
Tino,1115,220
Seen,1103,98
Unrealodin,1081,199
Thunderbob,1080,200
Stewie2k,1073,211
Silver,1070,200
J0ey,1067,158
Finsnreads,1024,191
Danny,1007,192
Unity,1001,107
Gocutiego,994,260
Mosizzle,991,153
Rain,988,152
 - - - - - - Bronze 1 - - - - - - 
Aids,986,95
Ashley,986,166
Linda,979,242
Dishwash,972,172
Wpi|folie,961,153
Rtsvicta,954,265
Dokmomo,953,139
Tomthebomb,946,220
Slinky,939,177
Fullmetalbiochemist,935,223
 - - - - - - Bronze 2 - - - - - - 
Me$|jafrie,932,227
Ed,927,169
Me$|platplat,915,160
Me$|smflow,885,172
Thetripod,883,221
Noah,856,236
Nickzack,839,123
Sykke,833,277
Blackgun,833,320
Helvetios,831,232
Greenapple,829,208
Soupostrich,818,246
Jip,813,222
Jams,811,225
Calcium,810,227
 - - - - - - Starter - - - - - - 
Tomato,796,253
Killiants,791,228
Josh,773,234
Whatgood,772,223
Busso,761,203
Cal,755,163
Meleekunis,752,328
Derpinator,747,135
Runawayfire,746,296
Boss,742,193
?,739,174
Babe,738,348
Spice,729,227
Auntjemina,724,220
Moobesor,717,243
Tv,713,229
Jts,709,211
Skittles,707,209
Twdock,705,233
Tubbs,694,228
Xavier,688,215
Swell,669,274
Jam,655,261
Rocky,651,148
Edmonster,646,246
Infest,617,214
Yale,613,127
Tmah,603,300
Midnighthillbomber,600,255
Spicymeme,585,333
Darkmatter,583,284
Divus,580,299
Earl,537,203
Yzus,503,375
Ozio,485,260
Daemomlock,484,341
Dante,472,263
Deisman,468,249
Bighp,416,370
Kalco,411,337
Ratemyname,-19,394
